,Election,Year,State,District,Party,Candidate,Votes Received,Vote Percentage
1068,house,2008,MI,1st District,DEM,Stupak Bart,213216,65.0
1069,house,2008,MI,2nd District,REP,Hoekstra Peter,214100,62.4
1070,house,2008,MI,3rd District,REP,Ehlers Vernon,203799,61.1
1071,house,2008,MI,4th District,REP,Dave Camp,204259,61.9
1072,house,2008,MI,5th District,DEM,Dale Kildee,221841,70.4
1073,house,2008,MI,6th District,REP,Fred Upton,188157,58.9
1074,house,2008,MI,7th District,DEM,Mark Schauer,157213,48.8
1075,house,2008,MI,8th District,REP,Mike Rogers,204408,56.5
1076,house,2008,MI,9th District,DEM,Gary Peters,183311,52.1
1077,house,2008,MI,10th District,REP,Candice Miller,230471,66.3
1078,house,2008,MI,11th District,REP,Thaddeus McCotter,177461,51.4
1079,house,2008,MI,12th District,DEM,Sander Levin,225094,72.1
1080,house,2008,MI,13th District,DEM,Carolyn Kilpatrick,167481,74.1
1081,house,2008,MI,14th District,DEM,John Conyers,227841,92.4
1082,house,2008,MI,15th District,DEM,John Dingell,231784,70.7
1083,house,2008,MN,1st District,DEM,Tim Walz,207753,62.6
1084,house,2008,MN,2nd District,REP,John Kline,220924,57.4
1085,house,2008,MN,3rd District,REP,Erik Paulsen,178932,48.5
1086,house,2008,MN,4th District,DEM,Betty McCollum,216267,68.6
1087,house,2008,MN,5th District,DEM,Keith Ellison,228776,71.0
1088,house,2008,MN,6th District,REP,Michele Bachmann,187817,46.5
1089,house,2008,MN,7th District,DEM,Collin Peterson,227187,72.3
1090,house,2008,MN,8th District,DEM,James Oberstar,241831,67.8
1091,house,2008,MO,1st District,DEM,Lacy Clay,242570,86.9
1092,house,2008,MO,2nd District,REP,Todd Akin,232276,62.3
1093,house,2008,MO,3rd District,DEM,Russ Carnahan,202470,66.4
1094,house,2008,MO,4th District,DEM,Ike Skelton,200009,65.9
1095,house,2008,MO,5th District,DEM,Emanuel Cleaver,197249,64.4
1096,house,2008,MO,6th District,REP,Sam Graves,196526,59.4
1097,house,2008,MO,7th District,REP,Blunt Roy,219016,67.8
1098,house,2008,MO,8th District,REP,Jo Ann Emerson,198798,71.4
1099,house,2008,MO,9th District,REP,Blaine Luetkemeyer,161031,50.0
1100,house,2008,MS,1st District,DEM,Travis Childers,185959,54.5
1101,house,2008,MS,2nd District,DEM,Bennie Thompson,201606,69.1
1102,house,2008,MS,3rd District,REP,Gregg Harper,213171,62.5
1103,house,2008,MS,4th District,DEM,Gene Taylor,216542,74.5
1104,house,2008,MT,1st District,REP,Denny Rehberg,308470,64.1
1105,house,2008,NC,1st District,DEM,G. Butterfield,192765,70.3
1106,house,2008,NC,2nd District,DEM,Bob Etheridge,199730,66.9
1107,house,2008,NC,3rd District,REP,Walter Jones,201686,65.9
1108,house,2008,NC,4th District,DEM,David Price,265751,63.3
1109,house,2008,NC,5th District,REP,David Price,190820,58.4
1110,house,2008,NC,6th District,REP,Howard Coble,221018,67.0
1111,house,2008,NC,7th District,DEM,Mike McIntyre,215383,68.8
1112,house,2008,NC,8th District,DEM,Larry Kissell,157185,55.4
1113,house,2008,NC,9th District,REP,Sue Myrick,241053,62.4
1114,house,2008,NC,10th District,REP,Patrick McHenry,171774,57.6
1115,house,2008,NC,11th District,DEM,Heath Shuler,211112,62.0
1116,house,2008,NC,12th District,DEM,Mel Watt,215908,71.6
1117,house,2008,NC,13th District,DEM,Brad Miller,221379,65.9
1118,house,2008,ND,1st District,Other,Earl Pomeroy,194577,44.9
1119,house,2008,NE,1st District,REP,Jeff Fortenberry,184923,70.4
1120,house,2008,NE,2nd District,REP,Lee Terry,142473,51.9
1121,house,2008,NE,3rd District,REP,Adrian Smith,183117,76.9
1122,house,2008,NH,1st District,DEM,Carol Shea-Porter,176435,51.8
1123,house,2008,NH,2nd District,DEM,Paul Hodes,188332,56.4
1124,house,2008,NJ,1st District,DEM,Robert Andrews,206453,72.4
1125,house,2008,NJ,2nd District,REP,Frank LoBiondo,167701,59.1
1126,house,2008,NJ,3rd District,DEM,John Adler,166390,52.1
1127,house,2008,NJ,4th District,REP,Christopher Smith,202972,66.2
1128,house,2008,NJ,5th District,REP,Scott Garrett,172653,55.9
1129,house,2008,NJ,6th District,DEM,Frank Pallone,164077,66.9
1130,house,2008,NJ,7th District,REP,Leonard Lance,148461,50.2
1131,house,2008,NJ,8th District,DEM,Bill Pascrell,159279,71.1
1132,house,2008,NJ,9th District,DEM,Steven Rothman,151182,67.5
1133,house,2008,NJ,10th District,DEM,Donald Payne,169945,98.9
1134,house,2008,NJ,11th District,REP,Rodney Frelinghuysen,189696,61.8
1135,house,2008,NJ,12th District,DEM,Rush Holt,193732,63.1
1136,house,2008,NJ,13th District,DEM,Albio Sires,120382,75.4
1137,house,2008,NM,1st District,DEM,Martin Heinrich,166271,55.7
1138,house,2008,NM,2nd District,DEM,Harry Teague,129572,56.0
1139,house,2008,NM,3rd District,DEM,Ben Lujan,161292,56.7
1140,house,2008,NV,1st District,DEM,Shelley Berkley,154860,67.6
1141,house,2008,NV,2nd District,REP,Dean Heller,170771,51.8
1142,house,2008,NV,3rd District,DEM,Dina Titus,165912,47.4
1143,house,2008,NY,1st District,DEM,Timothy Bishop,162083,58.4
1144,house,2008,NY,2nd District,DEM,Steve Israel,161279,66.9
1145,house,2008,NY,3rd District,REP,Peter King,172774,63.9
1146,house,2008,NY,4th District,DEM,Carolyn McCarthy,164028,64.0
1147,house,2008,NY,5th District,DEM,Gary Ackerman,112724,71.0
1148,house,2008,NY,6th District,DEM,Gregory Meeks,Uncontested race,71.0
1149,house,2008,NY,7th District,DEM,Joseph Crowley,118459,84.7
1150,house,2008,NY,8th District,DEM,Jerrold Nadler,160775,80.5
1151,house,2008,NY,9th District,DEM,Anthony Weiner,112205,93.1
1152,house,2008,NY,10th District,DEM,Edolphus Towns,155090,94.2
1153,house,2008,NY,11th District,DEM,Yvette Clarke,168562,92.8
1154,house,2008,NY,12th District,DEM,Nydia Velazquez,123053,90.0
1155,house,2008,NY,13th District,Other,Michael McMahon,114219,60.9
1156,house,2008,NY,14th District,DEM,Carolyn Maloney,183239,79.9
1157,house,2008,NY,15th District,DEM,Charles Rangel,177151,89.2
1158,house,2008,NY,16th District,DEM,Jose Serrano,127179,96.6
1159,house,2008,NY,17th District,DEM,Eliot Engel,161594,79.9
1160,house,2008,NY,18th District,DEM,Nita Lowey,174791,68.5
1161,house,2008,NY,19th District,DEM,John Hall,164859,58.7
1162,house,2008,NY,20th District,DEM,Gillibrand Kirsten,193651,62.1
1163,house,2008,NY,21st District,DEM,Paul Tonko,171286,62.1
1164,house,2008,NY,22nd District,DEM,Maurice Hinchey,168558,66.4
1165,house,2008,NY,23rd District,REP,McHugh John,143029,65.3
1166,house,2008,NY,24th District,DEM,Michael Arcuri,130799,52.0
1167,house,2008,NY,25th District,DEM,Daniel Maffei,157375,54.8
1168,house,2008,NY,26th District,REP,Christopher Lee,148607,55.0
1169,house,2008,NY,27th District,DEM,Brian Higgins,185713,74.4
1170,house,2008,NY,28th District,DEM,Louise Slaughter,172655,78.0
1171,house,2008,NY,29th District,DEM,Massa Eric,140529,51.0
1172,house,2008,OH,1st District,DEM,Steve Driehaus,155455,52.5
1173,house,2008,OH,2nd District,REP,Jean Schmidt,148671,44.8
1174,house,2008,OH,3rd District,REP,Mike Turner,200204,63.3
1175,house,2008,OH,4th District,REP,Jim Jordan,186154,65.2
1176,house,2008,OH,5th District,REP,Bob Latta,188905,64.1
1177,house,2008,OH,6th District,DEM,Charlie Wilson,176330,62.3
1178,house,2008,OH,7th District,REP,Steve Austria,174915,58.2
1179,house,2008,OH,8th District,REP,John Boehner,202063,67.9
1180,house,2008,OH,9th District,DEM,Marcy Kaptur,222054,74.4
1181,house,2008,OH,10th District,DEM,Dennis Kucinich,157268,57.0
1182,house,2008,OH,11th District,DEM,Marcia Fudge,212667,85.2
1183,house,2008,OH,12th District,REP,Pat Tiberi,197447,54.8
1184,house,2008,OH,13th District,DEM,Betty Sutton,192593,64.7
1185,house,2008,OH,14th District,REP,Steven LaTourette,188488,58.3
1186,house,2008,OH,15th District,DEM,Mary Jo Kilroy,139584,45.9
1187,house,2008,OH,16th District,DEM,John Boccieri,169044,55.4
1188,house,2008,OH,17th District,DEM,Timothy Ryan,218896,78.1
1189,house,2008,OH,18th District,DEM,Zack Space,164187,59.9
1190,house,2008,OK,1st District,REP,John Sullivan,193404,66.2
1191,house,2008,OK,2nd District,DEM,Dan Boren,173757,70.5
1192,house,2008,OK,3rd District,REP,Frank Lucas,184306,69.7
1193,house,2008,OK,4th District,REP,Tom Cole,180080,66.0
1194,house,2008,OK,5th District,REP,Fallin Mary,171925,65.9
1195,house,2008,OR,1st District,DEM,David Wu,237567,72.4
1196,house,2008,OR,2nd District,REP,Greg Walden,236560,69.6
1197,house,2008,OR,3rd District,DEM,Earl Blumenauer,254235,74.7
1198,house,2008,OR,4th District,DEM,Peter DeFazio,275143,83.0
1199,house,2008,OR,5th District,DEM,Kurt Schrader,181577,54.5
1200,house,2008,PA,1st District,DEM,Robert Brady,242799,90.8
1201,house,2008,PA,2nd District,DEM,Chaka Fattah,276870,88.9
1202,house,2008,PA,3rd District,DEM,Kathy Dahlkemper,146846,51.2
1203,house,2008,PA,4th District,DEM,Jason Altmire,186536,55.9
1204,house,2008,PA,5th District,REP,Glenn Thompson,155513,56.7
1205,house,2008,PA,6th District,REP,Jim Gerlach,179423,52.1
1206,house,2008,PA,7th District,DEM,Sestak Joe,209955,59.6
1207,house,2008,PA,8th District,DEM,Patrick Murphy,197869,56.8
1208,house,2008,PA,9th District,REP,Bill Shuster,174951,63.9
1209,house,2008,PA,10th District,DEM,Christopher Carney,160837,56.3
1210,house,2008,PA,11th District,DEM,Paul Kanjorski,146379,51.6
1211,house,2008,PA,12th District,DEM,Murtha John,155268,57.9
1212,house,2008,PA,13th District,DEM,Allyson Schwartz,196868,62.8
1213,house,2008,PA,14th District,DEM,Mike Doyle,242326,91.3
1214,house,2008,PA,15th District,REP,Charles Dent,181433,58.6
1215,house,2008,PA,16th District,REP,Joseph Pitts,170329,55.8
1216,house,2008,PA,17th District,DEM,Tim Holden,192699,63.7
1217,house,2008,PA,18th District,REP,Tim Murphy,213349,64.1
1218,house,2008,PA,19th District,REP,Todd Platts,218862,66.6
1219,house,2008,RI,1st District,DEM,Patrick Kennedy,145254,68.6
1220,house,2008,RI,2nd District,DEM,James Langevin,158416,70.1
1221,house,2008,SC,1st District,REP,Brown Henry,177540,52.0
1222,house,2008,SC,2nd District,REP,Joe Wilson,184583,53.8
1223,house,2008,SC,3rd District,REP,Barrett J.,186799,64.7
1224,house,2008,SC,4th District,REP,Bob Inglis,184440,60.5
1225,house,2008,SC,5th District,DEM,John Spratt,188785,61.7
1226,house,2008,SC,6th District,DEM,James Clyburn,193378,67.5
1227,house,2008,SD,1st District,DEM,Stephanie Sandlin,256041,67.6
1228,house,2008,TN,1st District,REP,David Roe,168343,71.8
1229,house,2008,TN,2nd District,REP,John Duncan,227120,78.1
1230,house,2008,TN,3rd District,REP,Wamp Zach,184964,69.4
1231,house,2008,TN,4th District,DEM,Davis Lincoln,146776,58.8
1232,house,2008,TN,5th District,DEM,Jim Cooper,181467,65.8
1233,house,2008,TN,6th District,DEM,Gordon Bart,194264,74.4
1234,house,2008,TN,7th District,REP,Marsha Blackburn,217332,68.6
1235,house,2008,TN,8th District,DEM,Tanner John,Uncontested race,68.6
1236,house,2008,TN,9th District,DEM,Steve Cohen,198798,87.9
1237,house,2008,TX,1st District,REP,Louie Gohmert,189012,87.6
1238,house,2008,TX,2nd District,REP,Ted Poe,175101,88.9
1239,house,2008,TX,3rd District,REP,Sam Johnson,170742,59.7
1240,house,2008,TX,4th District,REP,Ralph Hall,206906,68.8
1241,house,2008,TX,5th District,REP,Jeb Hensarling,162894,83.6
1242,house,2008,TX,6th District,REP,Joe Barton,174008,62.0
1243,house,2008,TX,7th District,REP,John Culberson,162635,55.9
1244,house,2008,TX,8th District,REP,Kevin Brady,207128,72.6
1245,house,2008,TX,9th District,DEM,Al Green,143868,93.6
1246,house,2008,TX,10th District,REP,Michael McCaul,179493,53.9
1247,house,2008,TX,11th District,REP,Mike Conaway,189625,88.3
1248,house,2008,TX,12th District,REP,Kay Granger,181662,67.6
1249,house,2008,TX,13th District,REP,Mac Thornberry,180078,77.6
1250,house,2008,TX,14th District,REP,Ron Paul,Uncontested race,77.6
1251,house,2008,TX,15th District,DEM,Rubén Hinojosa,107578,65.7
1252,house,2008,TX,16th District,DEM,Silvestre Reyes,130375,82.1
1253,house,2008,TX,17th District,DEM,Chet Edwards,134592,53.0
1254,house,2008,TX,18th District,DEM,Sheila Lee,148617,77.3
1255,house,2008,TX,19th District,REP,Randy Neugebauer,168501,72.4
1256,house,2008,TX,20th District,DEM,Charles Gonzales,127298,71.9
1257,house,2008,TX,21st District,REP,Lamar Smith,243471,80.0
1258,house,2008,TX,22nd District,REP,Pete Olson,161996,52.4
1259,house,2008,TX,23rd District,DEM,Ciro Rodriguez,134090,55.8
1260,house,2008,TX,24th District,REP,Kenny Marchant,151434,56.0
1261,house,2008,TX,25th District,DEM,Lloyd Doggett,191755,65.8
1262,house,2008,TX,26th District,REP,Michael Burgess,195181,60.2
1263,house,2008,TX,27th District,DEM,Solomon Ortiz,104864,58.0
1264,house,2008,TX,28th District,DEM,Henry Cuellar,123494,68.7
1265,house,2008,TX,29th District,DEM,Gene Green,79718,74.6
1266,house,2008,TX,30th District,DEM,Eddie Johnson,168249,82.5
1267,house,2008,TX,31st District,REP,John Carter,175563,60.3
1268,house,2008,TX,32nd District,REP,Pete Sessions,116283,57.3
1269,house,2008,UT,1st District,REP,Rob Bishop,196799,64.9
1270,house,2008,UT,2nd District,DEM,Jim Matheson,220666,63.4
1271,house,2008,UT,3rd District,REP,Jason Chaffetz,187035,65.6
1272,house,2008,VA,1st District,REP,Robert Wittman,203839,56.7
1273,house,2008,VA,2nd District,DEM,Glenn Nye,141857,52.5
1274,house,2008,VA,3rd District,DEM,Robert Scott,Uncontested race,52.5
1275,house,2008,VA,4th District,REP,J. Forbes,199075,59.6
1276,house,2008,VA,5th District,DEM,Tom Perriello,158810,50.1
1277,house,2008,VA,6th District,REP,Robert Goodlatte,192350,61.6
1278,house,2008,VA,7th District,REP,Eric Cantor,233531,62.8
1279,house,2008,VA,8th District,DEM,James Moran,222986,68.1
1280,house,2008,VA,9th District,DEM,Rick Boucher,Uncontested race,68.1
1281,house,2008,VA,10th District,REP,Frank Wolf,223140,58.9
1282,house,2008,VA,11th District,DEM,Gerald Connolly,196598,54.8
1283,house,2008,VT,1st District,DEM,Peter Welch,248203,84.0
1284,house,2008,WA,1st District,DEM,Jay Inslee,233780,67.8
1285,house,2008,WA,2nd District,DEM,Rick Larsen,217416,62.4
1286,house,2008,WA,3rd District,DEM,Baird Brian,216701,64.0
1287,house,2008,WA,4th District,REP,Doc Hastings,169940,63.1
1288,house,2008,WA,5th District,REP,Cathy Rodgers,211305,65.3
1289,house,2008,WA,6th District,DEM,Norm Dicks,205991,66.9
1290,house,2008,WA,7th District,DEM,Jim McDermott,291963,83.7
1291,house,2008,WA,8th District,REP,Dave Reichert,191568,52.8
1292,house,2008,WA,9th District,DEM,Adam Smith,176295,65.4
1293,house,2008,WI,1st District,REP,Paul Ryan,231009,64.0
1294,house,2008,WI,2nd District,DEM,Tammy Baldwin,277914,69.4
1295,house,2008,WI,3rd District,DEM,Ron Kind,225208,63.2
1296,house,2008,WI,4th District,DEM,Gwen Moore,222728,88.4
1297,house,2008,WI,5th District,REP,F. Sensenbrenner,275271,79.8
1298,house,2008,WI,6th District,REP,Tom Petri,221875,63.8
1299,house,2008,WI,7th District,DEM,Obey David,212666,60.8
1300,house,2008,WI,8th District,DEM,Steven Kagen,193662,54.1
1301,house,2008,WV,1st District,DEM,Alan Mollohan,Uncontested race,69.8
1302,house,2008,WV,2nd District,REP,Shelley Capito,147334,57.1
1303,house,2008,WV,3rd District,DEM,Nick Rahall,133522,66.9
1304,house,2008,WY,1st District,REP,Cynthia Lummis,131244,52.7
1305,house,2010,AK,1st District,REP,Don Young,175384,69.3
1306,house,2010,AL,1st District,REP,Jo Bonner,129063,83.0
1307,house,2010,AL,2nd District,REP,Martha Roby,111645,51.1
1308,house,2010,AL,3rd District,REP,Mike Rogers,117736,59.5
1309,house,2010,AL,4th District,REP,Robert Aderholt,Uncontested race,59.5
1310,house,2010,AL,5th District,REP,Mo Brooks,131109,57.9
1311,house,2010,AL,6th District,REP,Spencer Bachus,Uncontested race,57.9
1312,house,2010,AL,7th District,DEM,Terri Sewell,136696,72.5
1313,house,2010,AR,1st District,REP,Rick Crawford,93224,51.8
1314,house,2010,AR,2nd District,REP,Tim Griffin,122091,57.9
1315,house,2010,AR,3rd District,REP,Steve Womack,148581,72.4
1316,house,2010,AR,4th District,DEM,Mike Ross,102479,57.5
1317,house,2010,AZ,1st District,REP,Paul Gosar,112816,49.7
1318,house,2010,AZ,2nd District,REP,Trent Franks,173173,64.9
1319,house,2010,AZ,3rd District,REP,Ben Quayle,108689,52.2
1320,house,2010,AZ,4th District,DEM,Ed Pastor,61524,66.9
1321,house,2010,AZ,5th District,REP,David Schweikert,110374,52.0
1322,house,2010,AZ,6th District,REP,Jeff Flake,165649,66.4
1323,house,2010,AZ,7th District,DEM,Raúl Grijalva,79935,50.2
1324,house,2010,AZ,8th District,DEM,Gabrielle Giffords,138280,48.8
1325,house,2010,CA,1st District,DEM,Mike Thompson,147307,62.8
1326,house,2010,CA,2nd District,REP,Wally Herger,130837,57.2
1327,house,2010,CA,3rd District,REP,Dan Lungren,131169,50.1
1328,house,2010,CA,4th District,REP,Tom McClintock,186397,61.3
1329,house,2010,CA,5th District,DEM,Doris Matsui,124220,72.1
1330,house,2010,CA,6th District,DEM,Lynn Woolsey,172216,65.9
1331,house,2010,CA,7th District,DEM,George Miller,122118,68.3
1332,house,2010,CA,8th District,DEM,Nancy Pelosi,167957,80.1
1333,house,2010,CA,9th District,DEM,Barbara Lee,180400,84.3
1334,house,2010,CA,10th District,DEM,John Garamendi,137578,58.8
1335,house,2010,CA,11th District,DEM,Jerry McNerney,115361,48.0
1336,house,2010,CA,12th District,DEM,Jackie Speier,152044,75.6
1337,house,2010,CA,13th District,DEM,Fortney Stark,118278,72.0
1338,house,2010,CA,14th District,DEM,Anna Eshoo,151217,69.1
1339,house,2010,CA,15th District,DEM,Mike Honda,126147,67.6
1340,house,2010,CA,16th District,DEM,Zoe Lofgren,105841,67.8
1341,house,2010,CA,17th District,DEM,Sam Farr,118734,66.7
1342,house,2010,CA,18th District,DEM,Dennis Cardoza,72853,58.5
1343,house,2010,CA,19th District,REP,Jeff Denham,128394,64.6
1344,house,2010,CA,20th District,DEM,Jim Costa,46247,51.7
1345,house,2010,CA,21st District,REP,Devin Nunes,Uncontested race,51.7
1346,house,2010,CA,22nd District,REP,Kevin McCarthy,173490,98.8
1347,house,2010,CA,23rd District,DEM,Lois Capps,111768,57.8
1348,house,2010,CA,24th District,REP,Elton Gallegly,144055,59.9
1349,house,2010,CA,25th District,REP,Howard McKeon,118308,61.8
1350,house,2010,CA,26th District,REP,David Dreier,112774,54.1
1351,house,2010,CA,27th District,DEM,Brad Sherman,102927,65.2
1352,house,2010,CA,28th District,DEM,Howard Berman,88385,69.5
1353,house,2010,CA,29th District,DEM,Adam Schiff,104374,64.8
1354,house,2010,CA,30th District,DEM,Henry Waxman,153663,64.6
1355,house,2010,CA,31st District,DEM,Xavier Becerra,76363,83.8
1356,house,2010,CA,32nd District,DEM,Judy Chu,77759,71.0
1357,house,2010,CA,33rd District,DEM,Karen Bass,131990,86.1
1358,house,2010,CA,34th District,DEM,Lucille Roybal-Allard,69382,77.2
1359,house,2010,CA,35th District,DEM,Maxine Waters,98131,79.3
1360,house,2010,CA,36th District,DEM,Jane Harman,114489,59.6
1361,house,2010,CA,37th District,DEM,Laura Richardson,85799,68.4
1362,house,2010,CA,38th District,DEM,Grace Napolitano,85459,73.5
1363,house,2010,CA,39th District,DEM,Linda Sanchez,81590,63.3
1364,house,2010,CA,40th District,REP,Ed Royce,119455,66.8
1365,house,2010,CA,41st District,REP,Jerry Lewis,127857,63.2
1366,house,2010,CA,42nd District,REP,Gary Miller,127161,62.2
1367,house,2010,CA,43rd District,DEM,Joe Baca,70026,65.5
1368,house,2010,CA,44th District,REP,Ken Calvert,107482,55.6
1369,house,2010,CA,45th District,REP,Mary Mack,106472,51.5
1370,house,2010,CA,46th District,REP,Dana Rohrabacher,139822,62.2
1371,house,2010,CA,47th District,DEM,Loretta Sanchez,50832,53.0
1372,house,2010,CA,48th District,REP,John Campbell,145481,59.9
1373,house,2010,CA,49th District,REP,Darrell Issa,119088,62.8
1374,house,2010,CA,50th District,REP,Brian Bilbray,142247,56.7
1375,house,2010,CA,51st District,DEM,Bob Filner,86423,60.1
1376,house,2010,CA,52nd District,REP,Duncan Hunter,139460,63.1
1377,house,2010,CA,53rd District,DEM,Susan Davis,104800,62.3
1378,house,2010,CO,1st District,DEM,Diana DeGette,140073,67.4
1379,house,2010,CO,2nd District,DEM,Jared Polis,148768,57.4
1380,house,2010,CO,3rd District,REP,Scott Tipton,131227,49.9
1381,house,2010,CO,4th District,REP,Cory Gardner,138634,52.5
1382,house,2010,CO,5th District,REP,Doug Lamborn,152829,65.8
1383,house,2010,CO,6th District,REP,Mike Coffman,217400,65.7
1384,house,2010,CO,7th District,DEM,Ed Perlmutter,112667,53.4
1385,house,2010,CT,1st District,DEM,John Larson,138440,61.2
1386,house,2010,CT,2nd District,DEM,Joe Courtney,147748,59.9
1387,house,2010,CT,3rd District,DEM,Rosa DeLauro,143565,65.1
1388,house,2010,CT,4th District,DEM,Jim Himes,115351,53.1
1389,house,2010,CT,5th District,DEM,Chris Murphy,122879,53.5
1390,house,2010,DE,1st District,DEM,John Carney,173543,56.8
1391,house,2010,FL,1st District,REP,Jeff Miller,170821,80.0
1392,house,2010,FL,2nd District,REP,Steve Southerland,136371,53.6
1393,house,2010,FL,3rd District,DEM,Corinne Brown,94744,63.0
1394,house,2010,FL,4th District,REP,Ander Crenshaw,178238,77.2
1395,house,2010,FL,5th District,REP,Richard Nugent,208815,67.4
1396,house,2010,FL,6th District,REP,Clifford Stearns,179349,71.5
1397,house,2010,FL,7th District,REP,John Mica,185470,69.0
1398,house,2010,FL,8th District,REP,Daniel Webster,123586,56.1
1399,house,2010,FL,9th District,REP,Gus Bilirakis,165433,71.4
1400,house,2010,FL,10th District,REP,C.W. Young,137943,65.9
1401,house,2010,FL,11th District,DEM,Kathy Castor,91328,59.6
1402,house,2010,FL,12th District,REP,Dennis Ross,102704,48.1
1403,house,2010,FL,13th District,REP,Vern Buchanan,183811,68.9
1404,house,2010,FL,14th District,REP,Connie Mack,188341,68.6
1405,house,2010,FL,15th District,REP,Bill Posey,157079,64.7
1406,house,2010,FL,16th District,REP,Tom Rooney,162285,66.8
1407,house,2010,FL,17th District,DEM,Frederica Wilson,106361,86.2
1408,house,2010,FL,18th District,REP,Ileana Ros-Lehtinen,102360,68.9
1409,house,2010,FL,19th District,DEM,Ted Deutch,132098,62.6
1410,house,2010,FL,20th District,DEM,Debbie Schultz,100787,60.1
1411,house,2010,FL,21st District,REP,Mario Diaz-Balart,Uncontested race,60.1
1412,house,2010,FL,22nd District,REP,Allen West,118890,54.4
1413,house,2010,FL,23rd District,DEM,Alcee Hastings,100066,79.1
1414,house,2010,FL,24th District,REP,Sandra Adams,146129,59.6
1415,house,2010,FL,25th District,REP,David Rivera,74859,52.1
1416,house,2010,GA,1st District,REP,Jack Kingston,117270,71.6
1417,house,2010,GA,2nd District,DEM,Sanford Bishop,86520,51.4
1418,house,2010,GA,3rd District,REP,Lynn Westmoreland,168304,69.5
1419,house,2010,GA,4th District,DEM,Hank Johnson,131760,74.7
1420,house,2010,GA,5th District,DEM,John Lewis,130782,73.7
1421,house,2010,GA,6th District,REP,Tom Price,Uncontested race,73.7
1422,house,2010,GA,7th District,REP,Rob Woodall,160898,67.1
1423,house,2010,GA,8th District,REP,Austin Scott,102770,52.7
1424,house,2010,GA,9th District,REP,Tom Graves,Uncontested race,52.7
1425,house,2010,GA,10th District,REP,Paul Broun,138062,67.4
1426,house,2010,GA,11th District,REP,Phil Gingrey,Uncontested race,67.4
1427,house,2010,GA,12th District,DEM,John Barrow,92459,56.6
1428,house,2010,GA,13th District,DEM,David Scott,140294,69.4
1429,house,2010,HI,1st District,DEM,Colleen Hanabusa,94140,53.2
1430,house,2010,HI,2nd District,DEM,Mazie Hirono,132290,72.2
1431,house,2010,IA,1st District,DEM,Bruce Braley,104428,49.5
1432,house,2010,IA,2nd District,DEM,Dave Loebsack,115839,51.0
1433,house,2010,IA,3rd District,DEM,Leonard Boswell,122147,50.8
1434,house,2010,IA,4th District,REP,Tom Latham,152588,65.7
1435,house,2010,IA,5th District,REP,Steve King,128363,65.8
1436,house,2010,ID,1st District,REP,Raul Labrador,126231,51.0
1437,house,2010,ID,2nd District,REP,Mike Simpson,137468,68.8
1438,house,2010,IL,1st District,DEM,Bobby Rush,148170,80.4
1439,house,2010,IL,2nd District,DEM,Jesse Jackson,150666,80.5
1440,house,2010,IL,3rd District,DEM,Daniel Lipinski,116120,69.7
1441,house,2010,IL,4th District,DEM,Luis Gutierrez,63273,77.4
1442,house,2010,IL,5th District,DEM,Mike Quigley,108360,70.6
1443,house,2010,IL,6th District,REP,Peter Roskam,114456,63.6
1444,house,2010,IL,7th District,DEM,Danny Davis,149846,81.5
1445,house,2010,IL,8th District,REP,Joe Walsh,98115,48.5
1446,house,2010,IL,9th District,DEM,Janice Schakowsky,117553,66.3
1447,house,2010,IL,10th District,REP,Robert Dold,109941,51.1
1448,house,2010,IL,11th District,REP,Adam Kinzinger,129108,57.3
1449,house,2010,IL,12th District,DEM,Jerry Costello,121272,59.8
1450,house,2010,IL,13th District,REP,Judy Biggert,152132,63.8
1451,house,2010,IL,14th District,REP,Randall Hultgren,112369,51.3
1452,house,2010,IL,15th District,REP,Timothy Johnson,136915,64.3
1453,house,2010,IL,16th District,REP,Donald Manzullo,138299,65.0
1454,house,2010,IL,17th District,REP,Bobby Schilling,104583,52.6
1455,house,2010,IL,18th District,REP,Aaron Schock,152868,69.1
1456,house,2010,IL,19th District,REP,John Shimkus,166166,71.2
1457,house,2010,IN,1st District,DEM,Peter Visclosky,99387,58.6
1458,house,2010,IN,2nd District,DEM,Joe Donnelly,91341,48.2
1459,house,2010,IN,3rd District,REP,Marlin Stutzman,116140,62.8
1460,house,2010,IN,4th District,REP,Todd Rokita,138732,68.6
1461,house,2010,IN,5th District,REP,Dan Burton,146899,62.1
1462,house,2010,IN,6th District,REP,Mike Pence,126027,66.6
1463,house,2010,IN,7th District,DEM,Andre Carson,86011,58.9
1464,house,2010,IN,8th District,REP,Larry Bucshon,116759,57.4
1465,house,2010,IN,9th District,REP,Todd Young,118040,52.4
1466,house,2010,KS,1st District,REP,Tim  Huelskamp,142281,73.8
1467,house,2010,KS,2nd District,REP,Lynn  Jenkins,130034,63.1
1468,house,2010,KS,3rd District,REP,Kevin  Yoder,136246,58.4
1469,house,2010,KS,4th District,REP,Mike  Pompeo,119575,58.8
1470,house,2010,KY,1st District,REP,Edward Whitfield,153840,71.2
1471,house,2010,KY,2nd District,REP,S. Guthrie,155906,67.9
1472,house,2010,KY,3rd District,DEM,John Yarmuth,139940,54.7
1473,house,2010,KY,4th District,REP,Geoff Davis,151813,69.5
1474,house,2010,KY,5th District,REP,Harold Rogers,151019,77.4
1475,house,2010,KY,6th District,DEM,Ben Chandler,119812,50.1
1476,house,2010,LA,1st District,REP,Steve Scalise,157182,78.5
